,importance
BUDAPEST_temp_max,0.08422066194979579
LJUBLJANA_temp_max,0.07175958251831799
MADRID_temp_mean,0.058403950483080065
MADRID_temp_max,0.050350740688379324
KASSEL_temp_max,0.04730706410034064
LJUBLJANA_temp_mean,0.04235293126630361
BUDAPEST_temp_mean,0.03972827139106955
BASEL_temp_mean,0.037029533504044074
BELGRADE_temp_max,0.03700913912955616
STOCKHOLM_temp_max,0.03349863061543922
MUNCHEN_temp_mean,0.03240149514176158
KASSEL_temp_mean,0.03010669248143732
MUNCHEN_temp_max,0.029534767193552004
DUSSELDORF_temp_mean,0.029309849420459746
OSLO_temp_mean,0.0210865407953279
DEBILT_temp_max,0.01985740345539384
MAASTRICHT_temp_mean,0.018870711382340328
DUSSELDORF_temp_max,0.01581938165917841
DEBILT_temp_mean,0.015546775769483207
BASEL_temp_max,0.014602645408420177
MADRID_temp_min,0.013443766077659307
BELGRADE_temp_mean,0.013164160493118962
HEATHROW_temp_max,0.012531614142480474
BUDAPEST_temp_min,0.012351488424329694
STOCKHOLM_temp_mean,0.0120849738310985
HEATHROW_temp_mean,0.011396298464976206
OSLO_temp_max,0.009522747710290916
BUDAPEST_global_radiation,0.009522353845280157
MAASTRICHT_temp_max,0.009231571629525011
MAASTRICHT_temp_min,0.006702870171274479
MADRID_global_radiation,0.006602445664036481
BASEL_temp_min,0.00589106856848266
BELGRADE_temp_min,0.005375239037772592
STOCKHOLM_temp_min,0.004892310604044703
VALENTIA_temp_mean,0.004849911732114279
KASSEL_temp_min,0.004826151760575684
MADRID_sunshine,0.004667553018284895
BELGRADE_humidity,0.004287460909483827
LJUBLJANA_temp_min,0.004284057743177994
MUNCHEN_global_radiation,0.003542591385032553
BELGRADE_precipitation,0.003029630287381164
BELGRADE_global_radiation,0.002908975291403283
MADRID_humidity,0.0028191649990880296
LJUBLJANA_global_radiation,0.0027118693598016663
MUNCHEN_temp_min,0.00258460965307167
OSLO_global_radiation,0.0024525260222730376
KASSEL_global_radiation,0.0024481772558456677
SONNBLICK_global_radiation,0.0022452636888643275
MADRID_precipitation,0.0021863347859422465
HEATHROW_global_radiation,0.0021861242271276893
BASEL_global_radiation,0.002178469695845949
OSLO_temp_min,0.0021725049021753913
DUSSELDORF_global_radiation,0.002091518006717767
SONNBLICK_pressure,0.002029130208434057
VALENTIA_global_radiation,0.0019530221369644264
VALENTIA_temp_max,0.0019444250004371304
VALENTIA_temp_min,0.0019137922643029759
MAASTRICHT_global_radiation,0.0018830499612387055
SONNBLICK_temp_min,0.001867188341844525
KASSEL_pressure,0.0018387313420211362
LJUBLJANA_humidity,0.001808227433588132
STOCKHOLM_global_radiation,0.0018012648776395185
BELGRADE_pressure,0.0017711585408754056
BELGRADE_sunshine,0.0017550777734402462
DUSSELDORF_temp_min,0.0017250586436460113
HEATHROW_temp_min,0.0016788042918727802
MADRID_pressure,0.0016756378130621398
SONNBLICK_temp_max,0.0015444600072583832
SONNBLICK_temp_mean,0.0015147820057378877
DEBILT_global_radiation,0.0014326588439714121
MAASTRICHT_pressure,0.0014258194877072535
LJUBLJANA_pressure,0.0014219042227747458
OSLO_humidity,0.0013870548664660358
BUDAPEST_sunshine,0.0013817835301199177
VALENTIA_pressure,0.0013572898495980235
DEBILT_pressure,0.0013045318561576325
LJUBLJANA_sunshine,0.001259579122434019
HEATHROW_sunshine,0.0011957340103609675
VALENTIA_sunshine,0.001122517673923448
STOCKHOLM_humidity,0.0011206416313549452
MAASTRICHT_humidity,0.0011206294572121643
HEATHROW_humidity,0.0011139519333068911
OSLO_pressure,0.0010978734672624953
MADRID_cloud_cover,0.0010886800619574364
DEBILT_temp_min,0.001083110747119677
MUNCHEN_humidity,0.0010740171145191394
LJUBLJANA_precipitation,0.0010638775771173697
BASEL_humidity,0.00103734516917212
STOCKHOLM_pressure,0.0010301746045820498
OSLO_sunshine,0.0009946653745311056
SONNBLICK_precipitation,0.000961822052641578
SONNBLICK_humidity,0.0009423893974516262
HEATHROW_pressure,0.0009335285950440989
BUDAPEST_precipitation,0.00092242404240063
KASSEL_precipitation,0.0009153596832591797
VALENTIA_humidity,0.0008971890641253851
MUNCHEN_precipitation,0.0008920316952249743
KASSEL_humidity,0.0008901634495128266
DUSSELDORF_humidity,0.0008881180838996955
MUNCHEN_sunshine,0.0008466390972153938
STOCKHOLM_sunshine,0.0008388256238165301
SONNBLICK_sunshine,0.0008230873800340614
KASSEL_sunshine,0.0007736921130451434
BASEL_precipitation,0.0007479468564029846
DEBILT_humidity,0.0007445507371239205
OSLO_precipitation,0.0007113822044760189
DUSSELDORF_precipitation,0.0006887848103588385
MAASTRICHT_sunshine,0.0006861514574739684
BASEL_sunshine,0.0006804105090800136
DUSSELDORF_sunshine,0.0006711492920449817
BELGRADE_cloud_cover,0.000641775843116532
VALENTIA_precipitation,0.0006011891014578134
DUSSELDORF_cloud_cover,0.000578208671604193
DEBILT_sunshine,0.0005677906269754631
VALENTIA_cloud_cover,0.000558761349750555
DEBILT_precipitation,0.0005553720328148784
MAASTRICHT_precipitation,0.0005442151230441769
SONNBLICK_cloud_cover,0.0005401420147778548
STOCKHOLM_cloud_cover,0.0005338188225613281
LJUBLJANA_cloud_cover,0.0005100913705588477
BASEL_cloud_cover,0.000487057794688254
STOCKHOLM_precipitation,0.00048687426035440794
OSLO_cloud_cover,0.00046650280455114005
HEATHROW_cloud_cover,0.0004504045434840591
MUNCHEN_cloud_cover,0.0004065298107895159
DEBILT_cloud_cover,0.00038823012968243427
HEATHROW_precipitation,0.00038583367363506345
MAASTRICHT_cloud_cover,0.0003693855569326558
KASSEL_cloud_cover,0.00036199714603312713
DUSSELDORF_pressure,0.00030995019228537114
BUDAPEST_humidity,0.0
BUDAPEST_cloud_cover,0.0
BUDAPEST_pressure,0.0
BASEL_pressure,0.0
MUNCHEN_pressure,0.0
