,importance
MADRID_temp_max,0.24993658876864625
BUDAPEST_temp_max,0.2226523239974595
LJUBLJANA_temp_mean,0.10269993470598093
MADRID_temp_mean,0.0786147225878902
BELGRADE_temp_max,0.06519595474619838
LJUBLJANA_temp_max,0.04529605768773542
BUDAPEST_temp_mean,0.02938079801689921
BELGRADE_precipitation,0.019050497040428015
BASEL_temp_mean,0.015650376977095096
MUNCHEN_temp_mean,0.013329848200767323
BELGRADE_temp_mean,0.012567366975372371
KASSEL_temp_mean,0.011820135522815474
KASSEL_temp_max,0.008968345989079102
BASEL_temp_max,0.008109480478798869
MADRID_precipitation,0.007827791699166576
MUNCHEN_temp_max,0.006200936177816689
DUSSELDORF_temp_max,0.004740012333009041
MAASTRICHT_temp_max,0.0036633815593486918
MADRID_sunshine,0.0030778940713511154
SONNBLICK_pressure,0.003069969434586357
STOCKHOLM_temp_max,0.0028384388613803303
MADRID_global_radiation,0.0027589573863149213
BELGRADE_humidity,0.0026291030644524285
DUSSELDORF_temp_mean,0.0026214364924778424
BELGRADE_pressure,0.0022741655881012793
MUNCHEN_temp_min,0.0021129395615956466
MAASTRICHT_temp_mean,0.001999909996422803
MADRID_pressure,0.0019584720163553708
BELGRADE_sunshine,0.0019026219573850046
HEATHROW_temp_max,0.0018416829698860305
DEBILT_temp_max,0.001802572183681347
BELGRADE_global_radiation,0.0017459455433237036
LJUBLJANA_precipitation,0.0015086108470728976
LJUBLJANA_humidity,0.0014705484426423754
MADRID_humidity,0.0012742600349167704
OSLO_temp_max,0.0012623005941518604
LJUBLJANA_global_radiation,0.0012278542606032187
BELGRADE_temp_min,0.00118249260404314
SONNBLICK_global_radiation,0.0011512511934365745
MADRID_temp_min,0.0010934634031255683
HEATHROW_temp_mean,0.001063054402101661
BASEL_global_radiation,0.0010594821162727944
VALENTIA_temp_min,0.0010496135680140295
BUDAPEST_temp_min,0.001023941298234077
BUDAPEST_sunshine,0.0010189023019760647
BASEL_temp_min,0.000994425301287491
BUDAPEST_global_radiation,0.0009707420058407492
MUNCHEN_global_radiation,0.0009694138805104503
LJUBLJANA_pressure,0.000940052549239317
MAASTRICHT_temp_min,0.0009004931897724109
MUNCHEN_precipitation,0.0008678257197230553
DUSSELDORF_temp_min,0.0008669693389936296
VALENTIA_global_radiation,0.0008657057319728344
LJUBLJANA_temp_min,0.0008652308367023398
BUDAPEST_precipitation,0.0008633059358337553
STOCKHOLM_temp_mean,0.0008383767789841846
VALENTIA_temp_max,0.0008365057916171824
MAASTRICHT_humidity,0.0008225916386779548
DEBILT_temp_mean,0.0008017763449956525
LJUBLJANA_sunshine,0.0007839762471744686
VALENTIA_temp_mean,0.0007669398743512198
SONNBLICK_temp_min,0.0007450058048826125
MUNCHEN_humidity,0.0007386619477117273
STOCKHOLM_temp_min,0.0007309295376499267
SONNBLICK_temp_mean,0.000729781678812778
OSLO_temp_min,0.0007259559760795186
HEATHROW_global_radiation,0.0007224565353732364
KASSEL_temp_min,0.0007140192409020424
DUSSELDORF_global_radiation,0.0006988896804185216
BASEL_humidity,0.0006916652706597239
OSLO_global_radiation,0.0006903687649934459
STOCKHOLM_global_radiation,0.0006891127053430638
MAASTRICHT_pressure,0.0006726911828769239
KASSEL_pressure,0.0006717261914503099
STOCKHOLM_pressure,0.0006639548279830375
OSLO_temp_mean,0.0006516702137708974
HEATHROW_temp_min,0.000651499895444679
VALENTIA_humidity,0.0006338310646315612
MUNCHEN_sunshine,0.0006335939029775572
SONNBLICK_precipitation,0.0006319999606654435
KASSEL_global_radiation,0.0006302265779381498
DEBILT_temp_min,0.0006025687072322535
DEBILT_global_radiation,0.0005995262699293482
DUSSELDORF_humidity,0.0005971454808543092
KASSEL_humidity,0.0005966255108425926
OSLO_pressure,0.0005905806661279224
HEATHROW_humidity,0.0005662319938405493
SONNBLICK_temp_max,0.0005513095522339519
KASSEL_precipitation,0.0005434863655767689
KASSEL_sunshine,0.0005390996132212752
MADRID_cloud_cover,0.0005333847532027592
MAASTRICHT_global_radiation,0.0005166653458825994
BASEL_sunshine,0.0005148002119698573
SONNBLICK_sunshine,0.0005136691307711904
DEBILT_pressure,0.0005122599902102138
VALENTIA_precipitation,0.0004759514618313735
BASEL_precipitation,0.0004415232410569594
HEATHROW_pressure,0.00043706739568549047
STOCKHOLM_sunshine,0.0004233137976990266
DEBILT_humidity,0.00042239669365491407
VALENTIA_pressure,0.0004205451830029688
VALENTIA_sunshine,0.0004174816267672653
STOCKHOLM_precipitation,0.00040387641706740986
